cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0
7	2	77693	0	0.00504263	0.00101445	0.999987	0.999999	1.21996e-05	0.00402818
7	2	89650	0	0.00101445	0.00389427	0.999999	0.999992	-7.0681e-06	-0.00287982
8	1	16713	0	0.0172287	0.0121383	0.999852	0.999926	7.47465e-05	0.00509032
8	1	47700	0	0.0121383	0.0052369	0.999926	0.999986	5.9959e-05	0.00690145
8	1	54287	0	0.0052369	0.00108324	0.999986	0.999999	1.31259e-05	0.00632014
8	2	1183	0	0.00389427	0.0150087	0.999992	0.999887	-0.000105043	0.018903
8	2	1990	0	0.0150087	0.0148039	0.999887	0.99989	3.05319e-06	-0.0298126
8	2	2249	0	0.0148039	0.00665509	0.99989	0.999978	8.74363e-05	0.021459
8	2	24392	0	0.00665509	0.00427379	0.999978	0.999991	1.30125e-05	-0.0023813
8	2	27126	0	0.00427379	0.00771641	0.999991	0.99997	-2.06386e-05	-0.0119902
8	2	37229	0	0.00771641	0.000424568	0.99997	1	2.96818e-05	0.00729184
8	2	50369	0	0.000424568	0.0155402	1	0.999879	-0.000120652	-0.0151157
8	2	52153	0	0.0155402	0.00255733	0.999879	0.999997	0.000117487	0.0129829
8	2	66662	0	0.00255733	0.0186202	0.999997	0.999827	-0.000170071	-0.0160628
8	2	67039	0	0.0186202	0.00532504	0.999827	0.999986	0.00015919	0.0132951
8	2	96505	0	0.00532504	0.0169858	0.999986	0.999856	-0.000130073	-0.0116608
8	2	97489	0	0.0169858	0.00333925	0.999856	0.999994	0.000138694	0.0136466
9	1	8118	0	0.00108324	0.013893	0.999999	0.999903	-9.59168e-05	0.0128098
9	1	18153	0	0.013893	0.0557845	0.999903	0.998445	-0.00145838	0.0418914
9	1	22852	0	0.0557845	0.0321367	0.998445	0.999484	0.00104011	-0.0236477
9	1	24406	0	0.0321367	0.0352315	0.999484	0.99938	-0.000104238	0.00309475
9	1	30091	0	0.0352315	0.0155336	0.99938	0.999879	0.000500107	-0.0507651
9	1	35399	0	0.0155336	0.0168458	0.999879	0.999858	-2.12435e-05	-0.00131217
9	1	35634	0	0.0168458	0.0117074	0.999858	0.999931	7.3361e-05	0.0285532
9	1	62990	0	0.0117074	0.00151697	0.999931	0.999999	6.73832e-05	-0.0132244
9	1	65825	0	0.00151697	0.000296595	0.999999	1	1.10662e-06	0.00122038
9	1	74063	0	0.000296595	0.0172793	1	0.999851	-0.000149232	0.0175759
9	1	82834	0	0.0172793	0.0213165	0.999851	0.999773	-7.79062e-05	0.00403718
9	1	82931	0	0.0213165	0.0125546	0.999773	0.999921	0.000148399	-0.00876189
9	1	86691	0	0.0125546	0.0210293	0.999921	0.999779	-0.000142295	0.00847464
9	1	87496	0	0.0210293	0.0086108	0.999779	0.999963	0.000184059	-0.0124184
9	1	87845	0	0.0086108	0.0355136	0.999963	0.99937	-0.00059336	0.0269028
9	1	89045	0	0.0355136	0.0292358	0.99937	0.999573	0.000203263	-0.00627781
9	2	16330	0	0.00333925	0.00889931	0.999994	0.99996	-3.4023e-05	0.0122386
9	2	21120	0	0.00889931	0.0181502	0.99996	0.999835	-0.000125107	0.00925084
9	2	25393	0	0.0181502	0.0115782	0.999835	0.999933	9.7691e-05	-0.0297284
9	2	59628	0	0.0115782	0.0165185	0.999933	0.999864	-6.94003e-05	-0.00494026
9	2	68936	0	0.0165185	0.009108	0.999864	0.999959	9.49572e-05	0.0256265
9	2	72415	0	0.009108	0.00601804	0.999959	0.999982	2.33696e-05	-0.00308995
9	2	78135	0	0.00601804	0.00444063	0.999982	0.99999	8.24886e-06	-0.00157741
9	2	93682	0	0.00444063	0.0112703	0.99999	0.999936	-5.36491e-05	-0.015711
9	2	95010	0	0.0112703	0.00829934	0.999936	0.999966	2.9071e-05	0.00297099
9	2	99580	0	0.00829934	0.0148715	0.999966	0.999889	-7.61379e-05	-0.00657213
10	1	3181	0	0.0292358	0.013494	0.999573	0.999909	0.000336379	-0.0157418
10	1	13452	0	0.013494	0.0158279	0.999909	0.999875	-3.42161e-05	0.00233386
10	1	19715	0	0.0158279	0.000451073	0.999875	1	0.000125167	-0.0153768
