cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1
4	2	58008	0	0.0195519	0.00416466	0.999809	0.999991	0.000182484	0.0226781	-0.00674582
4	2	62543	0	0.00416466	0.0231067	0.999991	0.999733	-0.000258254	0.00209197	-0.0205814
5	1	1190	0	0.00400562	0.0308021	0.999992	0.999526	-0.000466254	0.000942574	0.0318679
5	1	12123	0	0.0308021	0.0205672	0.999526	0.999789	0.000262916	-0.0182745	-0.0458828
5	1	26428	0	0.0205672	0.0206931	0.999789	0.999786	-2.59804e-06	0.00364386	-0.0027078
5	1	35211	0	0.0206931	0.0184711	0.999786	0.999829	4.35126e-05	0.0160252	0.000705613
5	1	47052	0	0.0184711	0.0235083	0.999829	0.999724	-0.000105723	-0.00309183	-0.00587602
5	1	52244	0	0.0235083	0.00675355	0.999724	0.999977	0.000253547	-0.00411539	0.0166585
5	1	65459	0	0.00675355	0.00649499	0.999977	0.999979	1.71275e-06	-0.000667555	0.000416614
5	1	73355	0	0.00649499	0.0125033	0.999979	0.999922	-5.7072e-05	0.000635505	-0.00620717
5	1	81299	0	0.0125033	0.0113399	0.999922	0.999936	1.38696e-05	-0.00701914	0.00459321
5	1	86855	0	0.0113399	0.0211816	0.999936	0.999776	-0.00016002	0.0255859	0.0199231
5	2	5564	0	0.0231067	0.0270602	0.999733	0.999634	-9.91631e-05	0.00659701	-0.00167064
5	2	7161	0	0.0270602	0.0277542	0.999634	0.999615	-1.90199e-05	-0.000847462	-0.00118707
5	2	13875	0	0.0277542	0.0334751	0.999615	0.99944	-0.000175127	-0.00827624	-0.00810005
5	2	17704	0	0.0334751	0.0168414	0.99944	0.999858	0.000418561	-0.000755564	0.0166658
5	2	21552	0	0.0168414	0.0143182	0.999858	0.999897	3.93116e-05	-0.0167416	0.018754
5	2	84015	0	0.0143182	0.015109	0.999897	0.999886	-1.16341e-05	0.0186095	0.0123281
5	2	94430	0	0.015109	0.0214453	0.999886	0.99977	-0.000115802	-0.000459634	0.0066317
6	1	7209	0	0.0211816	0.0184544	0.999776	0.99983	5.40477e-05	0.000404947	-0.0072448
6	1	18262	0	0.0184544	0.0364953	0.99983	0.999334	-0.000495549	-0.0105012	-0.0405773
6	1	23486	0	0.0364953	0.0323534	0.999334	0.999477	0.000142594	0.0204628	0.0191632
6	1	26229	0	0.0323534	0.00475692	0.999477	0.999989	0.000512188	-0.0321452	0.0147135
6	1	93931	0	0.00475692	0.00324119	0.999989	0.999995	6.06153e-06	0.00660576	0.00422548
6	1	96254	0	0.00324119	0.0124922	0.999995	0.999922	-7.27728e-05	0.000203387	0.00990497
6	2	9528	0	0.0214453	0.00428034	0.99977	0.999991	0.000220813	-0.00216481	-0.0171986
6	2	12629	0	0.00428034	0.0172128	0.999991	0.999852	-0.00013897	-0.0136816	0.00860386
6	2	14048	0	0.0172128	0.01623	0.999852	0.999868	1.64334e-05	-0.00137036	-0.00307343
6	2	29405	0	0.01623	0.0191802	0.999868	0.999816	-5.22325e-05	-0.00594836	-0.00975477
6	2	61248	0	0.0191802	0.00162215	0.999816	0.999999	0.000182642	0.0178762	-0.000617402
6	2	61328	0	0.00162215	0.0131306	0.999999	0.999914	-8.48872e-05	0.00651069	-0.0110836
6	2	76176	0	0.0131306	0.0302988	0.999914	0.999541	-0.000372732	-0.000217688	0.0419375
6	2	80839	0	0.0302988	0.0133091	0.999541	0.999911	0.00037051	0.00460248	-0.0206611
6	2	95382	0	0.0133091	0.0255238	0.999911	0.999674	-0.000237138	0.0157847	-0.00651262
6	2	95963	0	0.0255238	0.0253029	0.999674	0.99968	5.61385e-06	-8.03816e-05	-0.003153
7	1	421	0	0.0124922	0.0033183	0.999922	0.999994	7.25252e-05	-0.00301043	-0.0155206
7	1	22496	0	0.0033183	0.0283285	0.999994	0.999599	-0.000395667	-0.0242565	0.0169095
7	1	30241	0	0.0283285	0.0212355	0.999599	0.999775	0.000175793	0.0247041	-0.0348759
7	1	35375	0	0.0212355	0.0220775	0.999775	0.999756	-1.82351e-05	-0.00788921	0.000663162
7	1	49452	0	0.0220775	0.0189716	0.999756	0.99982	6.37499e-05	0.0152026	0.00301541
7	1	54126	0	0.0189716	0.0259131	0.99982	0.999664	-0.00015577	-0.0214788	-0.00406055
7	1	54968	0	0.0259131	0.0061235	0.999664	0.999981	0.000317045	0.0122606	0.0273948
7	1	58946	0	0.0061235	0.0170147	0.999981	0.999855	-0.000125993	0.0190242	-0.00497015
7	1	59755	0	0.0170147	0.0184088	0.999855	0.999831	-2.46917e-05	0.00140715	-0.000332574
7	1	65960	0	0.0184088	0.0137943	0.999831	0.999905	7.43038e-05	-0.00603353	0.00563129
7	1	82266	0	0.0137943	0.00463713	0.999905	0.999989	8.43931e-05	-0.0154925	-0.00953373
7	1	93816	0	0.00463713	0.00769016	0.999989	0.99997	-1.88176e-05	-0.0042742	0.00132638
7	1	96961	0	0.00769016	0.0356668	0.99997	0.999364	-0.000606308	-0.0255753	0.0156993
7	1	98350	0	0.0356668	0.0398367	0.999364	0.999207	-0.000157407	0.00307728	0.0127308
7	2	14243	0	0.0253029	0.0260582	0.99968	0.999661	-1.93968e-05	0.000364691	0.00495906
7	2	35763	0	0.0260582	0.0254329	0.999661	0.999677	1.60992e-05	-0.0007173	0.000433531
7	2	55814	0	0.0254329	0.012552	0.999677	0.999921	0.000244671	-0.0252076	0.00759866
7	2	80559	0	0.012552	0.0120057	0.999921	0.999928	6.70775e-06	-0.000611875	-0.000575351
7	2	87866	0	0.0120057	0.0141865	0.999928	0.999899	-2.85605e-05	-0.00676145	-0.023931
8	1	3599	0	0.0398367	0.0351499	0.999207	0.999382	0.000175737	0.00524853	-0.00126825
8	1	4406	0	0.0351499	0.029219	0.999382	0.999573	0.000190902	-0.00250529	-0.0142673
8	1	7494	0	0.029219	0.0292008	0.999573	0.999574	5.30917e-07	-0.000711624	-0.00205928
8	1	19709	0	0.0292008	0.0179914	0.999574	0.999838	0.000264533	0.0123262	0.000336041
8	1	25161	0	0.0179914	0.0155944	0.999838	0.999878	4.02537e-05	0.00911175	0.00513866
8	1	50023	0	0.0155944	0.0152743	0.999878	0.999883	4.94029e-06	-0.00846088	-0.0107905
8	1	59789	0	0.0152743	0.00279866	0.999883	0.999996	0.000112743	0.0129125	-0.00540176
8	1	74709	0	0.00279866	0.00531658	0.999996	0.999986	-1.02167e-05	-0.00183882	-0.00172127
8	1	82942	0	0.00531658	0.0125144	0.999986	0.999922	-6.41698e-05	-0.00867508	0.00451122
8	2	12700	0	0.0141865	0.0181977	0.999899	0.999834	-6.49469e-05	-0.00886326	0.0042772
8	2	20658	0	0.0181977	0.014247	0.999834	0.999899	6.40914e-05	0.0180426	0.0218429
8	2	54635	0	0.014247	0.00926526	0.999899	0.999957	5.85677e-05	-0.00335589	-0.0232495
8	2	57186	0	0.00926526	0.0212527	0.999957	0.999774	-0.0001829	-0.0102672	-0.00840045
8	2	57379	0	0.0212527	0.0157938	0.999774	0.999875	0.000101123	0.00180015	0.00549513
8	2	98274	0	0.0157938	0.0117246	0.999875	0.999931	5.59901e-05	0.00151327	0.00420438
9	1	1270	0	0.0125144	0.0118161	0.999922	0.99993	8.49516e-06	0.00722983	0.00977495
9	1	14818	0	0.0118161	0.0105353	0.99993	0.999945	1.43136e-05	-0.00402005	-0.0155715
9	1	18271	0	0.0105353	0.0197312	0.999945	0.999805	-0.000139153	0.022001	-0.0100917
9	1	19894	0	0.0197312	0.0132734	0.999805	0.999912	0.000106574	-0.00549624	0.00394777
9	1	28742	0	0.0132734	0.0334729	0.999912	0.99944	-0.000472015	-0.016286	-0.0210896
9	1	31812	0	0.0334729	0.0303103	0.99944	0.999541	0.000100866	-0.000282616	0.00338894
9	1	41656	0	0.0303103	0.0269078	0.999541	0.999638	9.7348e-05	0.00239037	0.00284042
9	1	45285	0	0.0269078	0.0270833	0.999638	0.999633	-4.73863e-06	-0.00826931	0.00359292
9	1	46821	0	0.0270833	0.0033346	0.999633	0.999994	0.000361258	0.0150658	0.0257322
9	1	62171	0	0.0033346	0.00955871	0.999994	0.999954	-4.01239e-05	0.00393235	-0.0121119
9	1	78503	0	0.00955871	0.0230181	0.999954	0.999735	-0.000219207	-0.0226546	0.0219514
9	1	98983	0	0.0230181	0.023142	0.999735	0.999732	-2.85894e-06	-0.000108568	6.08688e-05
